Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
UNI,Unicaja Banco S.A.,2.762,EUR,Finanza,8244998894.455,USD,
SW,Sodexo SA,47.98,EUR,Servizi al consumatore,8234161947.712251,USD,
ALE,Allegro.eu S.A.,28.23,PLN,Vendita al dettaglio,8141123319.0225,USD,
GTT,Gaztransport & Technigaz SA,187.3,EUR,Filiera di fabbricazione,8137207814.236,USD,
SUBC,Subsea 7 S.A.,259.8,NOK,Servizi industriali,8123182861.37553,USD,
SAVE,Nordnet AB,296.4,SEK,Finanza,8115181372.6844,USD,
KGF,Kingfisher Plc,357.2,GBX,Vendita al dettaglio,8047676396.011199,USD,
ELISA,Elisa Oyj Class A,42.56,EUR,Comunicazione,8020117654.976,USD,
GRF,"Grifols, S.A. Class A",11.125,EUR,Tecnologia sanitaria,7964611288.172151,USD,
SPM,Saipem S.p.A.,3.433,EUR,Servizi industriali,7954979398.22565,USD,
SQN,Swissquote Group Holding Ltd.,410,CHF,Finanza,7881591291.6582,USD,
PSON,Pearson PLC,927.6,GBX,Servizi al consumatore,7864141032.7968,USD,
SPX,Spirax Group plc.,7880,GBX,Filiera di fabbricazione,7834370897.986799,USD,
SUN,Sulzer AG,177,CHF,Filiera di fabbricazione,7808577186.1524,USD,
COV,Covivio SA,60.35,EUR,Finanza,7789721269.57555,USD,
AXFO,Axfood AB,328,SEK,Vendita al dettaglio,7781856807.7116995,USD,
IVG,Iveco Group NV,19.1,EUR,Beni di consumo durevoli,7776013397.31205,USD,
FRO,Frontline Plc,325,NOK,Trasporti,7729467161,USD,
GAW,Games Workshop Group PLC,17450,GBX,Beni di consumo durevoli,7725888131.7576,USD,
EVD,CTS Eventim AG & Co. KGaA,66.8,EUR,Servizi al consumatore,7582872585.168651,USD,
BEIJ_B,Beijer Ref AB Class B,136.3,SEK,Servizi di distribuzione,7567637321.0116,USD,
ROCK_B,ROCKWOOL A/S Class B,226,DKK,Minerali non energetici,7554643970.5164995,USD,
ELIS,Elis SA,27.7,EUR,Servizi commerciali,7550574673.94375,USD,
BGN,Banca Generali S.p.A.,55.15,EUR,Finanza,7516958732.10565,USD,
ALK_B,ALK-abello A/S Class B,220,DKK,Tecnologia sanitaria,7514587740.8602,USD,
VZN,VZ Holding AG,146,CHF,Finanza,7440379839.1038,USD,
HER,Hera S.p.A.,4.352,EUR,Utenze,7433288100.7633505,USD,
INVP,Investec plc,643,GBX,Finanza,7290374193.399599,USD,
